Job Title,Rating,Salary Estimate Min,Salary Estimate Max,CompanyName,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Machine Learning Engineer/Scientist,4.8,$79K,$147K ,Jane Street,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,,
Data Scientist,5,$79K,$147K ,SSATI,"McLean, VA","Annapolis Junction, MD",1 to 50 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",3.9,$79K,$147K ,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),
Data Scientist,3.4,$79K,$147K ,Solving IT International Inc,"Chicago, IL","Chicago, IL",501 to 1000 employees,,Company - Private,,,,
Data Scientist,3.3,$79K,$147K ,The Davey Tree Expert Company,"Kent, OH","Kent, OH",10000+ employees,1880,Self-employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion (USD),"ACRT Services, Bartlett Tree Experts"
Data Scientist,4.6,$79K,$147K ,Centauri,"Reston, VA","Chantilly, VA",501 to 1000 employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton"
Data Scientist,,$79K,$147K ,Stride Search,"San Francisco, CA","Westlake Village, CA",1 to 50 employees,,Company - Private,,,Less than $1 million (USD),
Machine Learning Engineer,2.6,$79K,$147K ,Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Colleges & Universities,Education,,
Data Analyst - Unilever Prestige,3.8,$79K,$147K ,Dermalogica,"Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's"
Data Scientist,4.8,$79K,$147K ,TechProjects,"New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,,
"VP, Data Science",3.9,$79K,$147K ,7Park Data,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,,
Data Scientist,4,$122K,$146K ,Netskope,"Santa Clara, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,,"Skyhigh Networks, Zscaler, NortonLifeLock"
Data Scientist,4.2,$122K,$146K ,Eversight,"Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),
Senior Business Intelligence Analyst,3.7,$122K,$146K ,Protolabs,"Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),
Data Scientist,3,$122K,$146K ,Ameritas Life Insurance Corp,"Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),
Data Engineer - Kafka,3.5,$122K,$146K ,Western Digital,"San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba"
Data Scientist,2.9,$122K,$146K ,"Shimento, Inc.","Santa Clara, CA","Benicia, CA",1 to 50 employees,,Company - Private,,,$1 to $5 million (USD),
Data Scientist,5,$122K,$146K ,Averity,"New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,,
Data Scientist,4.7,$122K,$146K ,Praxis Engineering,"Chantilly, VA","Annapolis Junction, MD",201 to 500 employees,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton"
Data Scientist,,$122K,$146K ,Point72 Ventures,"Palo Alto, CA",,,,,,,,
Decision Scientist,4.5,$122K,$146K ,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman"
Data Scientist,4.9,$122K,$146K ,Cambridge Mobile Telematics,"Cambridge, MA","Cambridge, MA",1 to 50 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,,
Data Science All Star Program - Data Engineer Track,4.6,$122K,$146K ,Blend360,"Columbia, MD","Columbia, MD",51 to 200 employees,2002,Company - Private,Consulting,Business Services,,
Data Scientist - TS/SCI FSP or CI Required,5,$122K,$146K ,Phoenix Operations Group,"Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),
Data Analyst,3.9,$122K,$146K ,Nolij Consulting,"Falls Church, VA","Vienna, VA",51 to 200 employees,2012,Company - Public,Consulting,Business Services,$1 to $5 million (USD),
Data Scientist,,$122K,$146K ,Hatch Data Inc,"San Francisco, CA",,,,,,,,
Data Scientist,,$122K,$146K ,Hatch Data Inc,"San Francisco, CA",,,,,,,,
Data Scientist,,$122K,$146K ,Hatch Data Inc,"San Francisco, CA",,,,,,,,
Data Scientist,,$122K,$146K ,Hatch Data Inc,"San Francisco, CA",,,,,,,,
Data Scientist,,$122K,$146K ,Hatch Data Inc,"San Francisco, CA",,,,,,,,
Data Scientist,,$122K,$146K ,Hatch Data Inc,"San Francisco, CA",,,,,,,,
Senior Data Scientist,3.5,$122K,$146K ,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),
Data Scientist,4.3,$112K,$116K ,Quick Base,"Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,,
Data Scientist,3.7,$112K,$116K ,Takeda,"Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer"
Data Scientist,3.5,$112K,$116K ,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,3.9,$112K,$116K ,Southwest Research Institute,"Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International"
Data Scientist,4.7,$112K,$116K ,Compass Consulting Group,"Thousand Oaks, CA","Danville, CA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,,
Data Science Software Engineer,4.8,$112K,$116K ,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,,
AI Ops Data Scientist,4,$112K,$116K ,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
Data Scientist,4.4,$112K,$116K ,"SolutionIT, Inc.","Edison, NJ","Wilmington, MA",51 to 200 employees,,Company - Private,,,,
Data Scientist,3.2,$112K,$116K ,Perspecta,"Adelphi, MD","Chantilly, VA",10000+ employees,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,,
Data Scientist,4.5,$112K,$116K ,Smith Hanley Associates,"Washington, DC","New York, 061",1 to 50 employees,1980,Company - Private,Staffing & Outsourcing,Business Services,,"Kforce, PageGroup, Robert Half"
Scientist - Machine Learning,3.5,$112K,$116K ,Allen Institute,"Seattle, WA","Seattle, WA",201 to 500 employees,2003,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),
Data Scientist,4.4,$112K,$116K ,Eliassen Group,"Plano, TX","Reading, MA",1001 to 5000 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"TEKsystems, Kforce, Randstad US"
Data Scientist,3.1,$112K,$116K ,Bayside Solutions,"Sunnyvale, CA","Pleasanton, CA",1 to 50 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),
Sr. Data Scientist,3.5,$112K,$116K ,Evolve Vacation Rental,"Denver, CO","Denver, CO",201 to 500 employees,2011,Company - Private,Travel Agencies,Travel & Tourism,,
Data Scientist,3.8,$112K,$116K ,AgreeYa Solutions,"Thousand Oaks, CA","Folsom, CA",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),
Data Scientist,3.7,$112K,$116K ,Carolina Power & Light Co,"McLean, VA","Raleigh, NC",5001 to 10000 employees,1908,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",,"South Carolina Electric & Gas, Virginia Electric and Power"
Analytics Manager - Data Mart,3.5,$112K,$116K ,Central California Alliance for Health,"Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),
Data Modeler (Analytical Systems),3.7,$112K,$116K ,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),
Applied AI Scientist / Engineer,5,$112K,$116K ,"New Iron Group, Inc.","Boston, MA","Austin, TX",1 to 50 employees,2003,Contract,Computer Hardware & Software,Information Technology,,
"Data Engineer (Analytics, SQL, Python, AWS)",4,$112K,$116K ,Travelers,"Hartford, CT","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),
Senior Data Analyst - Finance & Platform Analytics,3.6,$112K,$116K ,Twitch,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Subsidiary or Business Segment,Internet,Information Technology,,
Senior Data Scientist,4.8,$110K,$163K ,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,,
Market Research Data Scientist,3.8,$110K,$163K ,GutCheck,"Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey"
IT Partner Digital Health Technology and Data Science,3.6,$110K,$163K ,Biogen,"Cambridge, MA","Cambridge, MA",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),
Data Scientist,,$110K,$163K ,HireAi,"San Francisco, CA",,,,,,,,
Data Scientist,,$110K,$163K ,HireAi,"San Francisco, CA",,,,,,,,
"Senior Machine Learning Scientist - Bay Area, CA",3.3,$110K,$163K ,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,
"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",4.1,$110K,$163K ,Mentor Graphics,"Fremont, CA","Wilsonville, OR",5001 to 10000 employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Cadence Design Systems, Synopsys, Altium Limited"
Senior Clinical Data Scientist Programmer,3.6,$110K,$163K ,WCG (WIRB-Copernicus Group),"Hamilton, NJ","Princeton, NJ",1001 to 5000 employees,,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),
Data Engineer,4.5,$110K,$163K ,Kingfisher Systems,"Falls Church, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),
Computer Vision / Deep Learning Scientist,3.3,$110K,$163K ,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,
Data Solutions Engineer - Data Modeler,3.4,$110K,$163K ,Liberty Mutual Insurance,"Indianapolis, IN","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm"
Data Scientist,4.3,$110K,$163K ,Visionary Integration Professionals,"Washington, DC","Folsom, CA",501 to 1000 employees,1996,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"CGI (Nevada), Accenture, Deloitte"
Data Scientist (TS/SCI w/ Poly),3.5,$110K,$163K ,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),
Weapons and Sensors Engineer/Scientist,4,$110K,$163K ,Dynetics,"Huntsville, AL","Huntsville, AL",1001 to 5000 employees,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),
Applied Computer Scientist,4.5,$110K,$163K ,Systems & Technology Research,"Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),
Senior Data Analyst,4.5,$110K,$163K ,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
Cloud Data Engineer (Azure),3.9,$110K,$163K ,Navy Federal Credit Union,"Merrifield, VA","Vienna, VA",10000+ employees,1933,Other Organization,Banks & Credit Unions,Finance,,
"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift",4,$110K,$163K ,Exact Sciences Corporation,"Madison, WI","Madison, WI",1001 to 5000 employees,1995,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),
Sr. Data Analyst,3.6,$110K,$163K ,Community Behavioral Health,"Philadelphia, PA","Phila, PA",201 to 500 employees,1994,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),
Senior Scientist - Toxicologist - Product Integrity (Stewardship),3.3,$110K,$163K ,Reynolds American,"Winston-Salem, NC","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),
Senior Machine Learning Engineer,5,$110K,$163K ,LifeOmic,"Raleigh, NC","Indianapolis, IN",51 to 200 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,,
Product Data Scientist - Ads Data Science,4.1,$124K,$198K ,Twitter,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest"
Data Scientist,3.2,$124K,$198K ,Postmates - Corporate HQ,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,,"DoorDash, Uber, Grubhub"
Data Scientist,4.9,$124K,$198K ,"Visionist, Inc.","Columbia, MD","Columbia, MD",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),
Data Scientist,,$124K,$198K ,Navio,"San Mateo, CA","Half Moon Bay, CA",Unknown,,Unknown,,,,
Data Scientist,3.3,$124K,$198K ,Concerto HealthAI,"Boston, MA","Boston, MA",201 to 500 employees,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,
Data Scientist,,$124K,$198K ,Evolvinc,"Burbank, CA","Los Angeles, CA",1 to 50 employees,2005,Company - Private,IT Services,Information Technology,,
Data Scientist,5,$124K,$198K ,PROPRIUS,"Sunnyvale, CA","London, United Kingdom",1 to 50 employees,,Company - Private,Enterprise Software & Network Solutions,Information Technology,,
Data Scientist,3.4,$124K,$198K ,TECHNOCRAFT Solutions,"San Ramon, CA","Hilliard, OH",1 to 50 employees,,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),
Data Scientist,4.1,$124K,$198K ,"Latitude, Inc.","Washington, DC","Hanover, MD",1 to 50 employees,,Company - Private,Consulting,Business Services,$1 to $5 million (USD),
Data Scientist,5,$124K,$198K ,Royce Geospatial,"Springfield, VA","Arlington, VA",51 to 200 employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),
Data Scientist,4.2,$124K,$198K ,CyberCoders,"Phoenix, AZ","Irvine, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),
Data Scientist,3.7,$124K,$198K ,Booz Allen Hamilton Inc.,"Oxnard, CA","Mc Lean, VA",10000+ employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),"Accenture, Deloitte, PwC"
Data Scientist,3.8,$124K,$198K ,Burns & McDonnell,"Kansas City, MO","Kansas City, MO",5001 to 10000 employees,1898,Company - Private,Architectural & Engineering Services,Business Services,$1 to $2 billion (USD),"Bechtel Jacobs, Black & Veatch, HNTB"
Data Scientist,4.8,$124K,$198K ,InvenTech Info,"Jersey City, NJ","Bengaluru, India",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),
Data Scientist,3.5,$124K,$198K ,Robert Half,"Manchester, NH","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower"
Analytics - Business Assurance Data Analyst,4.6,$124K,$198K ,GreatAmerica Financial Services,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),
Data Scientist,4.5,$124K,$198K ,Conflux Systems Inc.,"Winters, TX","Alpharetta, GA",1 to 50 employees,,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),
Data Scientist,3.9,$124K,$198K ,Criteo,"Ann Arbor, MI","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus"
Data Scientist,3.4,$124K,$198K ,Voice,"Brooklyn, NY",,Unknown,,Company - Private,,,,
Data Scientist,,$124K,$198K ,Microagility,"New York, NY","Princeton, NJ",1 to 50 employees,,Company - Private,Consulting,Business Services,$1 to $5 million (USD),
Data Scientist,4.1,$124K,$198K ,Coverent,"McLean, VA","McLean, VA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,$10 to $25 million (USD),
Data Scientist,3.7,$79K,$133K ,Via Transportation,"New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,,
Senior Data Scientist,3.5,$79K,$133K ,Benson Hill,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),
Data Scientist,4.6,$79K,$133K ,"Conch Technologies, Inc","Concord, CA","Memphis, TN",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),
Data Scientist,,$79K,$133K ,Falcon IT & Staffing Solutions,"Fort Belvoir, VA","Washington, DC",Unknown,,Company - Public,,,,
Data Scientist,,$79K,$133K ,"Rainmaker Resources, LLC","Cincinnati, OH","Cincinnati, OH",1 to 50 employees,,Company - Private,,,,
Data Engineer,4.4,$79K,$133K ,Rocket Lawyer,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),
Data Scientist,3.6,$79K,$133K ,DataLab USA,"Germantown, MD","Germantown, MD",51 to 200 employees,,Company - Private,IT Services,Information Technology,,"Acxiom, Merkle, Epsilon (North Carolina)"
Data Scientist,3.1,$79K,$133K ,Werner Enterprises Inc,"Omaha, NE","Omaha, NE",10000+ employees,1956,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$2 to $5 billion (USD),
Data Scientist,5,$79K,$133K ,PeopleCom,"McLean, VA","Reston, VA",1 to 50 employees,,Company - Private,,,$1 to $5 million (USD),
Data Scientist - Machine Learning,5,$79K,$133K ,VANTA Partners,"Open Fork, VA","Clifton Park, NY",1 to 50 employees,2018,Company - Private,Staffing & Outsourcing,Business Services,,
Data Scientist,,$79K,$133K ,B4Corp,"Reston, VA","Leesburg, VA",51 to 200 employees,,Company - Private,IT Services,Information Technology,,
Data Scientist,,$79K,$133K ,"Blue Icy Water, LLC",United States,"Livonia, MI",1 to 50 employees,,Company - Private,,,,
Data Scientist,3.5,$79K,$133K ,"Farmer's Business Network, Inc.","San Carlos, CA","San Carlos, CA",201 to 500 employees,2014,Company - Private,Farm Support Services,Agriculture & Forestry,,
Data Scientist,,$79K,$133K ,Sonde Health,"Boston, MA","Boston, MA",1 to 50 employees,,Private Practice / Firm,Health Care Services & Hospitals,Health Care,Less than $1 million (USD),
Data Scientist,5,$79K,$133K ,Maxiom,"Ashburn, VA","Ashburn, VA",1 to 50 employees,,Company - Public,,,,
Data Scientist,2.7,$79K,$133K ,Change Healthcare,"Lombard, IL","Nashville, TN",10000+ employees,2007,Company - Public,IT Services,Information Technology,,
Data Scientist,4.1,$79K,$133K ,DCS Corp,"Hampton, VA","Alexandria, VA",1001 to 5000 employees,1977,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),
Data Scientist,2.1,$79K,$133K ,Hive (CA),"San Francisco, CA","Los Angeles, CA",Unknown,2019,Company - Private,Telecommunications Services,Telecommunications,,
Machine Learning Engineer/Scientist,4.8,$79K,$133K ,Jane Street,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,,
Data Scientist - Intermediate,4.5,$69K,$116K ,Envision LLC,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),
Principal Data Scientist,4,$69K,$116K ,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),
Data Scientist,3.3,$69K,$116K ,Hackensack Meridian Health,"Edison, NJ","Edison, NJ",10000+ employees,,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",3.9,$69K,$116K ,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),
Data Scientist,3.2,$69K,$116K ,Net2Source Inc.,"Alpharetta, GA","Somerset, NJ",1001 to 5000 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),
Data Scientist,3.2,$69K,$116K ,The Trade Desk,"Boulder, CO","Ventura, CA",1001 to 5000 employees,2009,Company - Public,Internet,Information Technology,,
Data Scientist- Industrial Discrete Sector Industry,3.7,$69K,$116K ,IBM,"Atlanta, GA","Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft"
Data Scientist,4.4,$69K,$116K ,Knowesis Inc.,"Falls Church, VA","Fairfax, VA",51 to 200 employees,2007,Company - Private,Consulting,Business Services,$25 to $50 million (USD),"Booz Allen Hamilton, Deloitte, ERPi"
Data Scientist,3.1,$69K,$116K ,MoTek Technologies,"Mountain View, CA","San Jose, CA",1 to 50 employees,2009,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),
Data Scientist,3.3,$69K,$116K ,The Davey Tree Expert Company,"Kent, OH","Kent, OH",10000+ employees,1880,Self-employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion (USD),"ACRT Services, Bartlett Tree Experts"
Data Scientist,3.5,$69K,$116K ,HPOne,"Trumbull, CT","Trumbull, CT",501 to 1000 employees,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),
Data Scientist,,$69K,$116K ,Stride Search,"San Francisco, CA","Westlake Village, CA",1 to 50 employees,,Company - Private,,,Less than $1 million (USD),
Machine Learning Engineer,2.6,$69K,$116K ,Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Colleges & Universities,Education,,
Data Scientist,,$69K,$116K ,Blue Cloak LLC,"Sterling, VA",,,,,,,,
Data Scientist,2.7,$69K,$116K ,TBWA\Chiat\Day,"New York, NY","New York, NY",1001 to 5000 employees,1968,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),
Data Scientist,3.5,$69K,$116K ,ThreeBridge Solutions,"Alpharetta, GA","Minneapolis, MN",501 to 1000 employees,2009,Company - Private,Consulting,Business Services,,
Data Scientist,3.2,$69K,$116K ,"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),
Data Analyst - Unilever Prestige,3.8,$69K,$116K ,Dermalogica,"Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's"
Data Scientist,4.2,$69K,$116K ,Centraprise,"Foster City, CA","Edison, NJ",51 to 200 employees,,Company - Private,IT Services,Information Technology,Less than $1 million (USD),
Data Scientist,4.8,$69K,$116K ,TechProjects,"New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,,
Data Scientist,4.2,$69K,$116K ,DW Simpson,"Frederick, MD","Chicago, IL",51 to 200 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),
Data & Machine Learning Scientist,3.3,$31K,$56K ,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,
Data Scientist,4,$31K,$56K ,Grid Dynamics,"Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Luxoft, EPAM, Capgemini Invent"
"VP, Data Science",3.9,$31K,$56K ,7Park Data,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,,
Senior Business Intelligence Analyst,3.7,$31K,$56K ,Protolabs,"Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),
Data Scientist,3.9,$31K,$56K ,LinQuest,"Colorado Springs, CO","Los Angeles, CA",501 to 1000 employees,2004,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),
Data Engineer - Kafka,3.5,$31K,$56K ,Western Digital,"San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba"
Data Scientist,4,$31K,$56K ,Trexquant Investment,United States,"Stamford, CT",1 to 50 employees,2012,Company - Private,Investment Banking & Asset Management,Finance,,
Data Scientist,3,$31K,$56K ,Ameritas Life Insurance Corp,"Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),
Data Scientist,3.7,$31K,$56K ,Fleetcor,"Atlanta, GA","Atlanta, GA",5001 to 10000 employees,2000,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),
Data Scientist,4.5,$31K,$56K ,Radiant Digital,"Washington, DC","New York, NY",1 to 50 employees,,Company - Private,,,Less than $1 million (USD),
Data Scientist,2.8,$31K,$56K ,Child Care Aware of America,"Arlington, VA","Arlington, VA",51 to 200 employees,1987,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),
Data Scientist,4.1,$31K,$56K ,IntelliPro Group Inc.,"Santa Clara, CA","Santa Clara, CA",201 to 500 employees,,Company - Private,,,$10 to $25 million (USD),
