date,from_code ,to_code,sku,qty,unit_cost,unit_price,extended_cost,extended_retail,dataset
1/1/2019,YYC-WH,YYC-NW,BK1009,13,13.12,29.99,170.56,389.87,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1009,8,13.12,29.99,104.96,239.92,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1010,7,12.96,25.33,90.72,177.31,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1010,11,12.96,25.33,142.56,278.63,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1010,7,12.96,25.33,90.72,177.31,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1011,15,7.1,13.19,106.5,197.85,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1011,8,7.1,13.19,56.8,105.52,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1011,11,7.1,13.19,78.1,145.09,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1012,19,16.53,37.63,314.07,714.97,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1012,14,16.53,37.63,231.42,526.82,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1012,10,16.53,37.63,165.3,376.3,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1013,18,9.19,20.75,165.42,373.5,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1013,8,9.19,20.75,73.52,166,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1013,16,9.19,20.75,147.04,332,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1014,7,7.55,15.03,52.85,105.21,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1014,3,7.55,15.03,22.65,45.09,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1014,3,7.55,15.03,22.65,45.09,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1015,29,16.66,41.08,483.14,1191.32,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1015,11,16.66,41.08,183.26,451.88,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1015,16,16.66,41.08,266.56,657.28,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1016,6,17.47,33.29,104.82,199.74,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1016,2,17.47,33.29,34.94,66.58,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1016,4,17.47,33.29,69.88,133.16,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1017,9,16.35,34.38,147.15,309.42,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1017,8,16.35,34.38,130.8,275.04,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1017,8,16.35,34.38,130.8,275.04,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1018,18,15.71,38.65,282.78,695.7,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1018,15,15.71,38.65,235.65,579.75,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1018,15,15.71,38.65,235.65,579.75,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1019,23,13.86,29.02,318.78,667.46,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1019,12,13.86,29.02,166.32,348.24,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1019,6,13.86,29.02,83.16,174.12,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1020,16,12.61,28.33,201.76,453.28,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1020,12,12.61,28.33,151.32,339.96,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1020,7,12.61,28.33,88.27,198.31,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1021,16,7.04,14.63,112.64,234.08,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1021,7,7.04,14.63,49.28,102.41,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1021,5,7.04,14.63,35.2,73.15,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1022,2,10.9,21.71,21.8,43.42,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1022,2,10.9,21.71,21.8,43.42,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1022,1,10.9,21.71,10.9,21.71,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1023,14,10.47,26.06,146.58,364.84,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1023,7,10.47,26.06,73.29,182.42,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1023,13,10.47,26.06,136.11,338.78,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1024,17,9.12,19.03,155.04,323.51,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1024,11,9.12,19.03,100.32,209.33,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1024,13,9.12,19.03,118.56,247.39,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1025,5,14.68,35.61,73.4,178.05,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1025,3,14.68,35.61,44.04,106.83,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1025,9,14.68,35.61,132.12,320.49,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1026,3,11.95,23.43,35.85,70.29,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1026,7,11.95,23.43,83.65,164.01,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1026,3,11.95,23.43,35.85,70.29,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1027,13,6.97,13.59,90.61,176.67,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1027,9,6.97,13.59,62.73,122.31,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1027,6,6.97,13.59,41.82,81.54,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1028,11,8.64,15.74,95.04,173.14,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1028,9,8.64,15.74,77.76,141.66,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1028,8,8.64,15.74,69.12,125.92,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1029,23,14.2,32.04,326.6,736.92,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1029,15,14.2,32.04,213,480.6,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1029,8,14.2,32.04,113.6,256.32,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1030,19,6.91,14.22,131.29,270.18,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1030,10,6.91,14.22,69.1,142.2,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1030,13,6.91,14.22,89.83,184.86,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1031,24,16.21,38.99,389.04,935.76,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1031,12,16.21,38.99,194.52,467.88,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1031,10,16.21,38.99,162.1,389.9,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1032,9,11.94,25.45,107.46,229.05,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1032,12,11.94,25.45,143.28,305.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1032,7,11.94,25.45,83.58,178.15,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1033,12,11.77,29.16,141.24,349.92,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1033,13,11.77,29.16,153.01,379.08,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1033,11,11.77,29.16,129.47,320.76,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1034,18,13.11,25.3,235.98,455.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1034,7,13.11,25.3,91.77,177.1,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1034,5,13.11,25.3,65.55,126.5,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1035,9,15.9,38.29,143.1,344.61,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1035,8,15.9,38.29,127.2,306.32,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1035,2,15.9,38.29,31.8,76.58,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1036,18,10.17,23.83,183.06,428.94,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1036,8,10.17,23.83,81.36,190.64,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1036,7,10.17,23.83,71.19,166.81,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1037,17,14.14,33.08,240.38,562.36,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1037,11,14.14,33.08,155.54,363.88,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1037,9,14.14,33.08,127.26,297.72,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1038,5,12.79,30.59,63.95,152.95,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1038,10,12.79,30.59,127.9,305.9,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1038,6,12.79,30.59,76.74,183.54,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1039,18,9.2,21.46,165.6,386.28,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1039,12,9.2,21.46,110.4,257.52,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1039,6,9.2,21.46,55.2,128.76,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1040,15,16.54,37.02,248.1,555.3,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1040,8,16.54,37.02,132.32,296.16,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1040,12,16.54,37.02,198.48,444.24,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1041,9,15.57,29.46,140.13,265.14,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1041,7,15.57,29.46,108.99,206.22,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1041,8,15.57,29.46,124.56,235.68,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1042,15,13.9,25.34,208.5,380.1,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1042,6,13.9,25.34,83.4,152.04,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1042,10,13.9,25.34,139,253.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1043,26,16.21,39.63,421.46,1030.38,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1043,21,16.21,39.63,340.41,832.23,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1043,9,16.21,39.63,145.89,356.67,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1044,17,16.41,36.62,278.97,622.54,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1044,11,16.41,36.62,180.51,402.82,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1044,6,16.41,36.62,98.46,219.72,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1045,18,14.5,34.18,261,615.24,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1045,11,14.5,34.18,159.5,375.98,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1045,8,14.5,34.18,116,273.44,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1046,11,16.04,34.28,176.44,377.08,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1046,1,16.04,34.28,16.04,34.28,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1046,10,16.04,34.28,160.4,342.8,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1047,11,14.37,27.05,158.07,297.55,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1047,8,14.37,27.05,114.96,216.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1047,16,14.37,27.05,229.92,432.8,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1048,22,14.16,26.73,311.52,588.06,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1048,12,14.16,26.73,169.92,320.76,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1048,10,14.16,26.73,141.6,267.3,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1049,14,13.42,30.6,187.88,428.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1049,5,13.42,30.6,67.1,153,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1049,9,13.42,30.6,120.78,275.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1050,6,15.03,31.58,90.18,189.48,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1050,2,15.03,31.58,30.06,63.16,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1050,3,15.03,31.58,45.09,94.74,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1051,11,7.9,15.33,86.9,168.63,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1051,4,7.9,15.33,31.6,61.32,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1051,5,7.9,15.33,39.5,76.65,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1052,17,16.57,35.53,281.69,604.01,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1052,16,16.57,35.53,265.12,568.48,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1052,14,16.57,35.53,231.98,497.42,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1053,6,16.46,30.37,98.76,182.22,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1053,13,16.46,30.37,213.98,394.81,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1053,9,16.46,30.37,148.14,273.33,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1054,8,6.35,14.02,50.8,112.16,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1054,5,6.35,14.02,31.75,70.1,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1054,3,6.35,14.02,19.05,42.06,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1055,5,15.91,31.63,79.55,158.15,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1055,5,15.91,31.63,79.55,158.15,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1055,2,15.91,31.63,31.82,63.26,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1056,4,7.55,17.81,30.2,71.24,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1056,6,7.55,17.81,45.3,106.86,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1056,6,7.55,17.81,45.3,106.86,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1057,12,10.02,20.21,120.24,242.52,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1057,6,10.02,20.21,60.12,121.26,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1057,6,10.02,20.21,60.12,121.26,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1058,3,14.92,31.61,44.76,94.83,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1058,1,14.92,31.61,14.92,31.61,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1058,1,14.92,31.61,14.92,31.61,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1059,10,7.93,14.34,79.3,143.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1059,10,7.93,14.34,79.3,143.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1059,3,7.93,14.34,23.79,43.02,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1060,8,15.82,29.28,126.56,234.24,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1060,5,15.82,29.28,79.1,146.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1060,5,15.82,29.28,79.1,146.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1061,6,15.99,33.18,95.94,199.08,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1061,3,15.99,33.18,47.97,99.54,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1061,4,15.99,33.18,63.96,132.72,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1062,20,12.09,25.82,241.8,516.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1062,7,12.09,25.82,84.63,180.74,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1062,13,12.09,25.82,157.17,335.66,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1063,11,6.08,13.5,66.88,148.5,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1063,17,6.08,13.5,103.36,229.5,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1063,10,6.08,13.5,60.8,135,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1064,16,9.44,18.92,151.04,302.72,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1064,9,9.44,18.92,84.96,170.28,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1064,3,9.44,18.92,28.32,56.76,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1065,21,13.4,30.64,281.4,643.44,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1065,9,13.4,30.64,120.6,275.76,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1065,6,13.4,30.64,80.4,183.84,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1066,12,17.77,42.69,213.24,512.28,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1066,12,17.77,42.69,213.24,512.28,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1066,7,17.77,42.69,124.39,298.83,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1067,8,13.58,31.86,108.64,254.88,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1067,5,13.58,31.86,67.9,159.3,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1067,7,13.58,31.86,95.06,223.02,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1068,4,9.12,16.67,36.48,66.68,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1068,2,9.12,16.67,18.24,33.34,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1068,3,9.12,16.67,27.36,50.01,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1069,14,13.61,29.08,190.54,407.12,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1069,13,13.61,29.08,176.93,378.04,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1069,9,13.61,29.08,122.49,261.72,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1070,15,12.48,23.38,187.2,350.7,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1070,10,12.48,23.38,124.8,233.8,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1070,5,12.48,23.38,62.4,116.9,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1071,14,15.36,30.25,215.04,423.5,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1071,8,15.36,30.25,122.88,242,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1071,8,15.36,30.25,122.88,242,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1072,13,7.28,18.13,94.64,235.69,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1072,7,7.28,18.13,50.96,126.91,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1072,13,7.28,18.13,94.64,235.69,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1073,9,15.13,28.74,136.17,258.66,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1073,5,15.13,28.74,75.65,143.7,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1073,6,15.13,28.74,90.78,172.44,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1074,12,12.5,26.87,150,322.44,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1074,4,12.5,26.87,50,107.48,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1074,9,12.5,26.87,112.5,241.83,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1075,15,17.56,39.21,263.4,588.15,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1075,7,17.56,39.21,122.92,274.47,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1075,10,17.56,39.21,175.6,392.1,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1076,10,10.1,23.15,101,231.5,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1076,9,10.1,23.15,90.9,208.35,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1076,9,10.1,23.15,90.9,208.35,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1077,16,13.59,29.79,217.44,476.64,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1077,9,13.59,29.79,122.31,268.11,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1077,11,13.59,29.79,149.49,327.69,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1078,11,17.18,31.04,188.98,341.44,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1078,8,17.18,31.04,137.44,248.32,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1078,9,17.18,31.04,154.62,279.36,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1079,17,7.23,14.67,122.91,249.39,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1079,11,7.23,14.67,79.53,161.37,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1079,13,7.23,14.67,93.99,190.71,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1080,19,17.25,37.3,327.75,708.7,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1080,18,17.25,37.3,310.5,671.4,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1080,16,17.25,37.3,276,596.8,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1081,10,14.25,26.53,142.5,265.3,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1081,6,14.25,26.53,85.5,159.18,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1081,6,14.25,26.53,85.5,159.18,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1082,20,6.81,13.93,136.2,278.6,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1082,11,6.81,13.93,74.91,153.23,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1082,7,6.81,13.93,47.67,97.51,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1083,7,9.61,17.52,67.27,122.64,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1083,13,9.61,17.52,124.93,227.76,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1083,3,9.61,17.52,28.83,52.56,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1084,21,14.5,26.9,304.5,564.9,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1084,15,14.5,26.9,217.5,403.5,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1084,10,14.5,26.9,145,269,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1085,22,6.81,14.15,149.82,311.3,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1085,15,6.81,14.15,102.15,212.25,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1085,14,6.81,14.15,95.34,198.1,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1086,13,12.99,24.59,168.87,319.67,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1086,11,12.99,24.59,142.89,270.49,bookstore_inventory
1/1/2019,YYC-WH,YYC-SE,BK1086,11,12.99,24.59,142.89,270.49,bookstore_inventory
1/1/2019,YYC-WH,YYC-DT,BK1087,13,10.15,22.3,131.95,289.9,bookstore_inventory
1/1/2019,YYC-WH,YYC-NW,BK1087,10,10.15,22.3,101.5,223,bookstore_inventory
